1	2.8732	0.7805	0.0920	0.2320
1	2.8206	0.7515	0.0550	0.3010
1	4.2560	0.5910	0.0720	0.4450
1	3.2856	0.4795	0.0780	0.3490
1	4.9498	0.6430	0.0740	0.4980
1	2.0221	0.2040	0.0490	0.1060
1	2.2769	0.8675	0.1030	0.2680
1	3.2853	0.7040	0.0670	0.3910
1	3.1401	0.4825	0.0800	0.2840
1	3.3335	0.8375	0.0660	0.4970
1	2.0303	0.7275	0.0800	0.4120
1	4.4549	0.6210	0.0620	0.5320
1	3.2103	0.7745	0.0740	0.3760
1	1.7033	0.0835	0.1100	0.1510
1	2.0255	0.3335	0.0890	0.2460
1	3.0808	0.3115	0.0740	0.2270
1	2.8209	0.9185	0.0400	0.4480
1	2.8787	0.8450	0.0820	0.2980
1	2.6488	0.9485	0.0460	0.3260
1	3.3531	0.3430	0.1080	0.3160
1	3.1212	0.9185	0.0730	0.4560
1	3.5186	0.5230	0.0680	0.2510
1	3.0447	0.8835	0.0750	0.4880
1	2.4226	0.4275	0.0940	0.1650
1	2.1236	0.9115	0.0590	0.3840
1	2.8662	0.5190	0.1410	0.1330
1	2.1203	0.9335	0.0770	0.2970
1	3.4948	0.6330	0.0700	0.3240
1	2.5649	0.5515	0.1070	0.2090
1	2.1425	0.2660	0.1410	0.1270
1	1.8245	0.1135	0.1530	0.1050
1	1.6394	0.1525	0.0980	0.2090
1	2.2830	0.4755	0.1690	0.1400
1	3.4240	0.5845	0.0780	0.3000
1	3.4832	0.5955	0.0560	0.3890
1	1.7185	0.3005	0.1290	0.1330
1	2.5739	0.9615	0.0860	0.3010
1	2.8918	0.9580	0.0450	0.3280
1	3.0365	0.9505	0.0470	0.2120
1	2.3121	0.8505	0.0540	0.2460
1	3.1801	0.7170	0.1330	0.2970
1	3.3715	0.9450	0.0890	0.4110
1	2.8999	0.9335	0.0550	0.3000
1	2.4612	0.9280	0.0670	0.2560
1	3.6830	0.6640	0.0870	0.4130
1	2.7963	0.7420	0.0840	0.2810
1	2.5850	0.7675	0.0970	0.2560
1	3.2111	0.8645	0.0930	0.2470
1	1.9859	0.3125	0.1280	0.1260
1	2.0110	0.4120	0.1670	0.0860
1	2.2110	0.4070	0.1680	0.1810
1	4.4316	0.7390	0.0630	0.5410
1	1.7363	0.8790	0.0390	0.4720
1	3.4043	0.5120	0.0630	0.2830
1	2.1111	0.3455	0.1040	0.1570
1	2.9292	0.9585	0.0660	0.2670
1	3.5825	0.4675	0.0970	0.3120
1	1.6130	0.8700	0.0690	0.4270
1	4.2967	0.5060	0.0490	0.3750
1	2.6842	0.4735	0.0720	0.2350
1	2.1143	0.1735	0.1720	0.1730
1	3.5516	0.6895	0.0920	0.3170
1	0.6331	0.7375	0.1340	0.4330
1	2.3125	0.5480	0.0810	0.3110
1	3.1583	0.8045	0.0740	0.2800
1	2.3648	0.4505	0.1110	0.1110
1	2.5055	0.1640	0.1130	0.1520
1	2.9464	0.6410	0.0970	0.2390
1	2.0157	0.3825	0.0830	0.1000
1	1.2274	0.1175	0.1430	0.0830
1	1.6501	0.2705	0.1570	0.0830
1	2.0581	0.1350	0.0930	0.1930
1	2.5746	0.9295	0.0710	0.4130
1	3.0427	0.8950	0.0710	0.2140
1	2.9747	0.7425	0.0800	0.3480
1	2.5470	0.8520	0.0750	0.3120
1	2.2348	0.3345	0.1700	0.1250
1	2.1374	0.1935	0.0560	0.0810
1	5.6674	0.7430	0.0680	0.7100
1	2.0782	0.3655	0.0910	0.3010
1	3.9088	0.3560	0.0900	0.4030
1	2.1731	0.5375	0.1200	0.1840
1	2.4354	0.4850	0.0670	0.2200
1	0.9520	0.9050	0.0400	0.4040
1	2.7604	0.4835	0.1520	0.1630
1	1.8278	0.3720	0.1140	0.0900
1	2.0396	0.4100	0.1020	0.1290
1	2.1627	0.4620	0.1400	0.1320
1	2.9442	0.7325	0.0450	0.3580
1	3.4869	0.3255	0.1050	0.3460
1	2.1184	0.2855	0.1140	0.1100
1	2.7858	0.5620	0.0980	0.3240
1	3.0278	0.6180	0.0880	0.3180
1	2.6338	0.9320	0.0640	0.2200
1	3.2587	0.5030	0.1060	0.2780
1	3.1335	0.3615	0.0990	0.2880
1	2.7626	0.7115	0.0740	0.3510
1	2.3862	0.4280	0.1320	0.1070
1	2.5413	0.4510	0.0910	0.2160
1	3.0375	0.9500	0.0660	0.2960
1	2.2843	0.3595	0.1540	0.1740
1	2.1893	0.3815	0.1470	0.1010
1	2.6384	0.4935	0.1030	0.2180
1	1.8904	0.1705	0.0980	0.0740
1	3.4274	0.7280	0.0810	0.3470
1	2.8294	0.6220	0.0730	0.3750
1	2.0528	0.6780	0.0590	0.4670
1	2.9595	0.3765	0.1520	0.1750
1	4.2621	0.7395	0.0610	0.3570
1	2.5421	0.4565	0.0860	0.1520
1	2.9468	0.9705	0.0620	0.2230
1	2.0652	0.2205	0.1340	0.1200
1	2.3684	0.8545	0.0860	0.2770
1	3.1559	0.8660	0.0690	0.4000
1	3.5895	0.8820	0.0740	0.5970
1	2.5528	0.5025	0.1250	0.1750
1	2.0866	0.1945	0.0720	0.2330
1	2.6566	0.9145	0.0900	0.2370
1	2.7278	0.4785	0.0830	0.3030
1	3.5733	0.8900	0.0930	0.4340
1	3.0244	0.4540	0.1010	0.2360
1	3.1205	0.8880	0.0740	0.2820
1	2.9406	0.3965	0.1390	0.1830
